PESO X ALTURA_Região_Região;PESO X ALTURA_Código UF_Código UF;PESO X ALTURA_UF_UF;PESO X ALTURA_Código IBGE_Código IBGE;PESO X ALTURA_Município_Município;PESO X ALTURA_Magreza acentuada_Quantidade;PESO X ALTURA_Magreza acentuada_%;PESO X ALTURA_Magreza_Quantidade;PESO X ALTURA_Magreza_%;PESO X ALTURA_Peso Adequado ou Eutrófico_Quantidade;PESO X ALTURA_Peso Adequado ou Eutrófico_%;PESO X ALTURA_Risco de sobrepeso_Quantidade;PESO X ALTURA_Risco de sobrepeso_%;PESO X ALTURA_Sobrepeso_Quantidade;PESO X ALTURA_Sobrepeso_%;PESO X ALTURA_Obesidade_Quantidade;PESO X ALTURA_Obesidade_%;PESO X ALTURA_Total_Total
CENTRO-OESTE;53;DF;530010;BRASILIA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
TOTAL ESTADO DISTRITO FEDERAL;TOTAL ESTADO DISTRITO FEDERAL;TOTAL ESTADO DISTRITO FEDERAL;TOTAL ESTADO DISTRITO FEDERAL;TOTAL ESTADO DISTRITO FEDERAL;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520010;ABADIANIA;1.0;3.57%;0.0;-;18.0;64.29%;7.0;25%;0.0;-;2.0;7.14%;28.0
CENTRO-OESTE;52;GO;520013;ACREUNA;0.0;-;0.0;-;0.0;-;1.0;100%;0.0;-;0.0;-;1.0
CENTRO-OESTE;52;GO;520015;ADELANDIA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520030;ALEXANIA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520050;ALOANDIA;0.0;-;0.0;-;1.0;100%;0.0;-;0.0;-;0.0;-;1.0
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520082;AMARALINA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520110;ANAPOLIS;0.0;-;0.0;-;7.0;77.78%;1.0;11.11%;0.0;-;1.0;11.11%;9.0
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520130;ANICUNS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;1.0;100%;1.0
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520150;APORE;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520160;ARACU;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520170;ARAGARCAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;0.0;-;1.0;4.76%;16.0;76.19%;4.0;19.05%;0.0;-;0.0;-;21.0
CENTRO-OESTE;52;GO;520250;ARUANA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520260;AURILANDIA;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520310;BALIZA;0.0;-;0.0;-;0.0;-;2.0;100%;0.0;-;0.0;-;2.0
CENTRO-OESTE;52;GO;520320;BARRO ALTO;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0;-;0.0
